date	region_code	hospitalized_addition
2020-03-01	Capital Region of Denmark	1
2020-03-02	Capital Region of Denmark	0
2020-03-03	Capital Region of Denmark	1
2020-03-04	Capital Region of Denmark	0
2020-03-05	Capital Region of Denmark	1
2020-03-06	Capital Region of Denmark	3
2020-03-07	Capital Region of Denmark	0
2020-03-08	Capital Region of Denmark	3
2020-03-09	Capital Region of Denmark	3
2020-03-10	Capital Region of Denmark	6
2020-03-11	Capital Region of Denmark	4
2020-03-12	Capital Region of Denmark	3
2020-03-13	Capital Region of Denmark	13
2020-03-14	Capital Region of Denmark	9
2020-03-15	Capital Region of Denmark	18
2020-03-16	Capital Region of Denmark	23
2020-03-17	Capital Region of Denmark	25
2020-03-18	Capital Region of Denmark	21
2020-03-19	Capital Region of Denmark	29
2020-03-20	Capital Region of Denmark	33
2020-03-21	Capital Region of Denmark	14
2020-03-22	Capital Region of Denmark	22
2020-03-23	Capital Region of Denmark	43
2020-03-24	Capital Region of Denmark	37
2020-03-25	Capital Region of Denmark	40
2020-03-26	Capital Region of Denmark	41
2020-03-27	Capital Region of Denmark	38
2020-03-28	Capital Region of Denmark	31
2020-03-29	Capital Region of Denmark	25
2020-03-30	Capital Region of Denmark	39
2020-03-31	Capital Region of Denmark	28
2020-04-01	Capital Region of Denmark	29
2020-04-02	Capital Region of Denmark	39
2020-04-03	Capital Region of Denmark	33
2020-04-04	Capital Region of Denmark	26
2020-04-05	Capital Region of Denmark	23
2020-04-06	Capital Region of Denmark	28
2020-04-07	Capital Region of Denmark	36
2020-04-08	Capital Region of Denmark	14
2020-04-09	Capital Region of Denmark	18
2020-04-10	Capital Region of Denmark	16
2020-04-11	Capital Region of Denmark	17
2020-04-12	Capital Region of Denmark	13
2020-04-13	Capital Region of Denmark	18
2020-04-14	Capital Region of Denmark	23
2020-04-15	Capital Region of Denmark	12
2020-04-16	Capital Region of Denmark	17
2020-04-17	Capital Region of Denmark	13
2020-04-18	Capital Region of Denmark	15
2020-04-19	Capital Region of Denmark	20
2020-04-20	Capital Region of Denmark	16
2020-04-21	Capital Region of Denmark	18
2020-04-22	Capital Region of Denmark	15
2020-04-23	Capital Region of Denmark	16
2020-04-24	Capital Region of Denmark	9
2020-04-25	Capital Region of Denmark	18
2020-04-26	Capital Region of Denmark	20
2020-04-27	Capital Region of Denmark	8
2020-04-28	Capital Region of Denmark	12
2020-04-29	Capital Region of Denmark	9
2020-04-30	Capital Region of Denmark	10
2020-05-01	Capital Region of Denmark	9
2020-05-02	Capital Region of Denmark	14
2020-05-03	Capital Region of Denmark	13
2020-05-04	Capital Region of Denmark	8
2020-05-05	Capital Region of Denmark	8
2020-05-06	Capital Region of Denmark	4
2020-05-07	Capital Region of Denmark	11
2020-05-08	Capital Region of Denmark	6
2020-05-09	Capital Region of Denmark	4
2020-05-10	Capital Region of Denmark	7
2020-05-11	Capital Region of Denmark	6
2020-05-12	Capital Region of Denmark	6
2020-05-13	Capital Region of Denmark	4
2020-05-14	Capital Region of Denmark	9
2020-05-15	Capital Region of Denmark	5
2020-05-16	Capital Region of Denmark	1
2020-05-17	Capital Region of Denmark	2
2020-05-18	Capital Region of Denmark	9
2020-05-19	Capital Region of Denmark	4
2020-05-20	Capital Region of Denmark	2
2020-05-21	Capital Region of Denmark	3
2020-05-22	Capital Region of Denmark	9
2020-05-23	Capital Region of Denmark	5
2020-05-24	Capital Region of Denmark	1
2020-05-25	Capital Region of Denmark	4
2020-05-26	Capital Region of Denmark	7
2020-05-27	Capital Region of Denmark	5
2020-05-28	Capital Region of Denmark	5
2020-05-29	Capital Region of Denmark	8
2020-05-30	Capital Region of Denmark	5
2020-05-31	Capital Region of Denmark	3
2020-06-01	Capital Region of Denmark	3
2020-06-02	Capital Region of Denmark	4
2020-06-03	Capital Region of Denmark	1
2020-06-04	Capital Region of Denmark	2
2020-06-05	Capital Region of Denmark	7
2020-06-06	Capital Region of Denmark	2
2020-06-07	Capital Region of Denmark	3
2020-06-08	Capital Region of Denmark	3
2020-06-09	Capital Region of Denmark	0
2020-06-10	Capital Region of Denmark	0
2020-06-11	Capital Region of Denmark	0
2020-06-12	Capital Region of Denmark	3
2020-06-13	Capital Region of Denmark	3
2020-06-14	Capital Region of Denmark	1
2020-06-15	Capital Region of Denmark	1
2020-06-16	Capital Region of Denmark	2
2020-06-17	Capital Region of Denmark	2
2020-06-18	Capital Region of Denmark	1
2020-06-19	Capital Region of Denmark	2
2020-06-20	Capital Region of Denmark	1
2020-06-21	Capital Region of Denmark	2
2020-06-22	Capital Region of Denmark	2
2020-06-23	Capital Region of Denmark	1
2020-06-24	Capital Region of Denmark	3
2020-06-25	Capital Region of Denmark	3
2020-06-26	Capital Region of Denmark	1
2020-06-27	Capital Region of Denmark	1
2020-06-28	Capital Region of Denmark	1
2020-06-29	Capital Region of Denmark	1
2020-06-30	Capital Region of Denmark	0
2020-07-01	Capital Region of Denmark	1
2020-07-02	Capital Region of Denmark	2
2020-07-03	Capital Region of Denmark	0
2020-07-04	Capital Region of Denmark	0
2020-07-05	Capital Region of Denmark	1
2020-07-06	Capital Region of Denmark	1
2020-07-07	Capital Region of Denmark	1
2020-07-08	Capital Region of Denmark	0
2020-07-09	Capital Region of Denmark	1
2020-07-10	Capital Region of Denmark	1
2020-07-11	Capital Region of Denmark	4
2020-07-12	Capital Region of Denmark	0
2020-07-13	Capital Region of Denmark	0
2020-07-14	Capital Region of Denmark	2
2020-07-15	Capital Region of Denmark	2
2020-07-16	Capital Region of Denmark	1
2020-07-17	Capital Region of Denmark	2
2020-07-18	Capital Region of Denmark	2
2020-07-19	Capital Region of Denmark	1
2020-07-20	Capital Region of Denmark	2
2020-07-21	Capital Region of Denmark	2
2020-07-22	Capital Region of Denmark	3
2020-07-23	Capital Region of Denmark	0
2020-07-24	Capital Region of Denmark	0
2020-07-25	Capital Region of Denmark	2
2020-07-26	Capital Region of Denmark	1
2020-07-27	Capital Region of Denmark	2
2020-07-28	Capital Region of Denmark	1
2020-07-29	Capital Region of Denmark	2
2020-07-30	Capital Region of Denmark	2
2020-07-31	Capital Region of Denmark	0
2020-08-01	Capital Region of Denmark	0
2020-08-02	Capital Region of Denmark	0
2020-08-03	Capital Region of Denmark	1
2020-08-04	Capital Region of Denmark	1
2020-08-05	Capital Region of Denmark	3
2020-08-06	Capital Region of Denmark	0
2020-08-07	Capital Region of Denmark	2
2020-08-08	Capital Region of Denmark	0
2020-08-09	Capital Region of Denmark	0
2020-08-10	Capital Region of Denmark	1
2020-08-11	Capital Region of Denmark	1
2020-08-12	Capital Region of Denmark	1
2020-08-13	Capital Region of Denmark	2
2020-08-14	Capital Region of Denmark	2
2020-08-15	Capital Region of Denmark	0
2020-08-16	Capital Region of Denmark	1
2020-08-17	Capital Region of Denmark	2
2020-08-18	Capital Region of Denmark	1
2020-08-19	Capital Region of Denmark	1
2020-08-20	Capital Region of Denmark	1
2020-08-21	Capital Region of Denmark	0
2020-08-22	Capital Region of Denmark	2
2020-08-23	Capital Region of Denmark	1
2020-08-24	Capital Region of Denmark	1
2020-08-25	Capital Region of Denmark	2
2020-08-26	Capital Region of Denmark	2
2020-08-27	Capital Region of Denmark	0
2020-08-28	Capital Region of Denmark	2
2020-08-29	Capital Region of Denmark	1
2020-08-30	Capital Region of Denmark	2
2020-08-31	Capital Region of Denmark	2
2020-09-01	Capital Region of Denmark	1
2020-09-02	Capital Region of Denmark	2
2020-09-03	Capital Region of Denmark	2
2020-09-04	Capital Region of Denmark	4
2020-09-05	Capital Region of Denmark	5
2020-09-06	Capital Region of Denmark	6
2020-09-07	Capital Region of Denmark	5
2020-09-08	Capital Region of Denmark	2
2020-09-09	Capital Region of Denmark	8
2020-09-10	Capital Region of Denmark	10
2020-09-11	Capital Region of Denmark	4
2020-09-12	Capital Region of Denmark	10
2020-09-13	Capital Region of Denmark	5
2020-09-14	Capital Region of Denmark	7
2020-09-15	Capital Region of Denmark	9
2020-09-16	Capital Region of Denmark	12
2020-09-17	Capital Region of Denmark	3
2020-09-18	Capital Region of Denmark	9
2020-09-19	Capital Region of Denmark	10
2020-09-20	Capital Region of Denmark	13
2020-09-21	Capital Region of Denmark	10
2020-09-22	Capital Region of Denmark	9
2020-09-23	Capital Region of Denmark	12
2020-09-24	Capital Region of Denmark	10
2020-09-25	Capital Region of Denmark	12
2020-09-26	Capital Region of Denmark	5
2020-09-27	Capital Region of Denmark	10
2020-09-28	Capital Region of Denmark	13
2020-09-29	Capital Region of Denmark	6
2020-09-30	Capital Region of Denmark	8
2020-10-01	Capital Region of Denmark	7
2020-10-02	Capital Region of Denmark	6
2020-10-03	Capital Region of Denmark	9
2020-10-04	Capital Region of Denmark	11
2020-10-05	Capital Region of Denmark	15
2020-10-06	Capital Region of Denmark	7
2020-10-07	Capital Region of Denmark	9
2020-10-08	Capital Region of Denmark	3
2020-10-09	Capital Region of Denmark	3
2020-10-10	Capital Region of Denmark	5
2020-10-11	Capital Region of Denmark	6
2020-10-12	Capital Region of Denmark	12
2020-10-13	Capital Region of Denmark	8
2020-10-14	Capital Region of Denmark	10
2020-10-15	Capital Region of Denmark	11
2020-10-16	Capital Region of Denmark	8
2020-10-17	Capital Region of Denmark	8
2020-10-18	Capital Region of Denmark	10
2020-10-19	Capital Region of Denmark	10
2020-10-20	Capital Region of Denmark	10
2020-10-21	Capital Region of Denmark	13
2020-10-22	Capital Region of Denmark	12
2020-10-23	Capital Region of Denmark	12
2020-10-24	Capital Region of Denmark	11
2020-10-25	Capital Region of Denmark	13
2020-10-26	Capital Region of Denmark	12
2020-10-27	Capital Region of Denmark	16
2020-10-28	Capital Region of Denmark	12
2020-10-29	Capital Region of Denmark	18
2020-10-30	Capital Region of Denmark	11
2020-10-31	Capital Region of Denmark	21
2020-11-01	Capital Region of Denmark	15
2020-11-02	Capital Region of Denmark	21
2020-11-03	Capital Region of Denmark	21
2020-11-04	Capital Region of Denmark	22
2020-11-05	Capital Region of Denmark	16
2020-11-06	Capital Region of Denmark	14
2020-11-07	Capital Region of Denmark	12
2020-11-08	Capital Region of Denmark	14
2020-11-09	Capital Region of Denmark	25
2020-11-10	Capital Region of Denmark	15
2020-11-11	Capital Region of Denmark	26
2020-11-12	Capital Region of Denmark	14
2020-11-13	Capital Region of Denmark	18
2020-11-14	Capital Region of Denmark	16
2020-11-15	Capital Region of Denmark	19
2020-11-16	Capital Region of Denmark	26
2020-11-17	Capital Region of Denmark	28
2020-11-18	Capital Region of Denmark	19
2020-11-19	Capital Region of Denmark	14
2020-11-20	Capital Region of Denmark	16
2020-11-21	Capital Region of Denmark	13
2020-11-22	Capital Region of Denmark	23
2020-11-23	Capital Region of Denmark	22
2020-11-24	Capital Region of Denmark	14
2020-11-25	Capital Region of Denmark	20
2020-11-26	Capital Region of Denmark	21
2020-11-27	Capital Region of Denmark	16
2020-11-28	Capital Region of Denmark	9
2020-11-29	Capital Region of Denmark	16
2020-11-30	Capital Region of Denmark	26
2020-12-01	Capital Region of Denmark	21
2020-12-02	Capital Region of Denmark	24
2020-12-03	Capital Region of Denmark	32
2020-12-04	Capital Region of Denmark	26
2020-12-05	Capital Region of Denmark	35
2020-12-06	Capital Region of Denmark	42
2020-12-07	Capital Region of Denmark	57
2020-12-08	Capital Region of Denmark	39
2020-12-09	Capital Region of Denmark	46
2020-12-10	Capital Region of Denmark	55
2020-12-11	Capital Region of Denmark	47
2020-12-12	Capital Region of Denmark	56
2020-12-13	Capital Region of Denmark	57
2020-12-14	Capital Region of Denmark	72
2020-12-15	Capital Region of Denmark	74
2020-12-16	Capital Region of Denmark	91
2020-12-17	Capital Region of Denmark	87
2020-12-18	Capital Region of Denmark	85
2020-12-19	Capital Region of Denmark	92
2020-12-20	Capital Region of Denmark	67
2020-12-21	Capital Region of Denmark	101
2020-12-22	Capital Region of Denmark	76
2020-12-23	Capital Region of Denmark	73
2020-12-24	Capital Region of Denmark	67
2020-12-25	Capital Region of Denmark	99
2020-12-26	Capital Region of Denmark	82
2020-12-27	Capital Region of Denmark	77
2020-12-28	Capital Region of Denmark	89
2020-12-29	Capital Region of Denmark	79
2020-12-30	Capital Region of Denmark	70
2020-12-31	Capital Region of Denmark	61
2021-01-01	Capital Region of Denmark	79
2021-01-02	Capital Region of Denmark	63
2021-01-03	Capital Region of Denmark	54
2021-01-04	Capital Region of Denmark	66
2021-01-05	Capital Region of Denmark	43
2021-01-06	Capital Region of Denmark	61
2021-01-07	Capital Region of Denmark	73
2021-01-08	Capital Region of Denmark	50
2021-01-09	Capital Region of Denmark	62
2021-01-10	Capital Region of Denmark	42
2021-01-11	Capital Region of Denmark	50
2021-01-12	Capital Region of Denmark	45
2021-01-13	Capital Region of Denmark	57
2021-01-14	Capital Region of Denmark	40
2021-01-15	Capital Region of Denmark	35
2021-01-16	Capital Region of Denmark	33
2021-01-17	Capital Region of Denmark	41
2021-01-18	Capital Region of Denmark	55
2021-01-19	Capital Region of Denmark	42
2021-01-20	Capital Region of Denmark	30
2021-01-21	Capital Region of Denmark	47
2021-01-22	Capital Region of Denmark	39
2021-01-23	Capital Region of Denmark	35
2021-01-24	Capital Region of Denmark	26
2021-01-25	Capital Region of Denmark	40
2021-01-26	Capital Region of Denmark	28
2021-01-27	Capital Region of Denmark	28
2021-01-28	Capital Region of Denmark	20
2021-01-29	Capital Region of Denmark	18
2021-01-30	Capital Region of Denmark	13
2021-01-31	Capital Region of Denmark	20
2021-02-01	Capital Region of Denmark	23
2021-02-02	Capital Region of Denmark	19
2021-02-03	Capital Region of Denmark	8
2021-02-04	Capital Region of Denmark	17
2021-02-05	Capital Region of Denmark	17
2021-02-06	Capital Region of Denmark	6
2021-02-07	Capital Region of Denmark	21
2021-02-08	Capital Region of Denmark	13
2021-02-09	Capital Region of Denmark	18
2021-02-10	Capital Region of Denmark	18
2021-02-11	Capital Region of Denmark	8
2021-02-12	Capital Region of Denmark	11
2021-02-13	Capital Region of Denmark	14
2021-02-14	Capital Region of Denmark	6
2021-02-15	Capital Region of Denmark	4
2020-03-01	Region Zealand	0
2020-03-02	Region Zealand	0
2020-03-03	Region Zealand	0
2020-03-04	Region Zealand	0
2020-03-05	Region Zealand	0
2020-03-06	Region Zealand	1
2020-03-07	Region Zealand	0
2020-03-08	Region Zealand	0
2020-03-09	Region Zealand	6
2020-03-10	Region Zealand	5
2020-03-11	Region Zealand	4
2020-03-12	Region Zealand	6
2020-03-13	Region Zealand	2
2020-03-14	Region Zealand	6
2020-03-15	Region Zealand	5
2020-03-16	Region Zealand	12
2020-03-17	Region Zealand	8
2020-03-18	Region Zealand	13
2020-03-19	Region Zealand	6
2020-03-20	Region Zealand	14
2020-03-21	Region Zealand	10
2020-03-22	Region Zealand	7
2020-03-23	Region Zealand	11
2020-03-24	Region Zealand	11
2020-03-25	Region Zealand	18
2020-03-26	Region Zealand	11
2020-03-27	Region Zealand	15
2020-03-28	Region Zealand	21
2020-03-29	Region Zealand	9
2020-03-30	Region Zealand	13
2020-03-31	Region Zealand	8
2020-04-01	Region Zealand	8
2020-04-02	Region Zealand	13
2020-04-03	Region Zealand	8
2020-04-04	Region Zealand	7
2020-04-05	Region Zealand	5
2020-04-06	Region Zealand	10
2020-04-07	Region Zealand	8
2020-04-08	Region Zealand	5
2020-04-09	Region Zealand	7
2020-04-10	Region Zealand	7
2020-04-11	Region Zealand	5
2020-04-12	Region Zealand	5
2020-04-13	Region Zealand	7
2020-04-14	Region Zealand	8
2020-04-15	Region Zealand	11
2020-04-16	Region Zealand	6
2020-04-17	Region Zealand	10
2020-04-18	Region Zealand	9
2020-04-19	Region Zealand	9
2020-04-20	Region Zealand	11
2020-04-21	Region Zealand	13
2020-04-22	Region Zealand	9
2020-04-23	Region Zealand	11
2020-04-24	Region Zealand	9
2020-04-25	Region Zealand	7
2020-04-26	Region Zealand	2
2020-04-27	Region Zealand	11
2020-04-28	Region Zealand	2
2020-04-29	Region Zealand	4
2020-04-30	Region Zealand	5
2020-05-01	Region Zealand	5
2020-05-02	Region Zealand	5
2020-05-03	Region Zealand	3
2020-05-04	Region Zealand	3
2020-05-05	Region Zealand	8
2020-05-06	Region Zealand	2
2020-05-07	Region Zealand	4
2020-05-08	Region Zealand	2
2020-05-09	Region Zealand	3
2020-05-10	Region Zealand	2
2020-05-11	Region Zealand	1
2020-05-12	Region Zealand	0
2020-05-13	Region Zealand	2
2020-05-14	Region Zealand	2
2020-05-15	Region Zealand	7
2020-05-16	Region Zealand	1
2020-05-17	Region Zealand	0
2020-05-18	Region Zealand	2
2020-05-19	Region Zealand	2
2020-05-20	Region Zealand	3
2020-05-21	Region Zealand	3
2020-05-22	Region Zealand	2
2020-05-23	Region Zealand	3
2020-05-24	Region Zealand	1
2020-05-25	Region Zealand	0
2020-05-26	Region Zealand	0
2020-05-27	Region Zealand	2
2020-05-28	Region Zealand	0
2020-05-29	Region Zealand	1
2020-05-30	Region Zealand	1
2020-05-31	Region Zealand	0
2020-06-01	Region Zealand	0
2020-06-02	Region Zealand	2
2020-06-03	Region Zealand	2
2020-06-04	Region Zealand	2
2020-06-05	Region Zealand	1
2020-06-06	Region Zealand	0
2020-06-07	Region Zealand	0
2020-06-08	Region Zealand	1
2020-06-09	Region Zealand	1
2020-06-10	Region Zealand	0
2020-06-11	Region Zealand	0
2020-06-12	Region Zealand	2
2020-06-13	Region Zealand	1
2020-06-14	Region Zealand	0
2020-06-15	Region Zealand	1
2020-06-16	Region Zealand	3
2020-06-17	Region Zealand	0
2020-06-18	Region Zealand	0
2020-06-19	Region Zealand	2
2020-06-20	Region Zealand	1
2020-06-21	Region Zealand	0
2020-06-22	Region Zealand	1
2020-06-23	Region Zealand	0
2020-06-24	Region Zealand	0
2020-06-25	Region Zealand	1
2020-06-26	Region Zealand	0
2020-06-27	Region Zealand	1
2020-06-28	Region Zealand	1
2020-06-29	Region Zealand	0
2020-06-30	Region Zealand	0
2020-07-01	Region Zealand	1
2020-07-02	Region Zealand	0
2020-07-03	Region Zealand	0
2020-07-04	Region Zealand	0
2020-07-05	Region Zealand	0
2020-07-06	Region Zealand	1
2020-07-07	Region Zealand	0
2020-07-08	Region Zealand	0
2020-07-09	Region Zealand	1
2020-07-10	Region Zealand	0
2020-07-11	Region Zealand	0
2020-07-12	Region Zealand	0
2020-07-13	Region Zealand	0
2020-07-14	Region Zealand	0
2020-07-15	Region Zealand	1
2020-07-16	Region Zealand	0
2020-07-17	Region Zealand	1
2020-07-18	Region Zealand	0
2020-07-19	Region Zealand	1
2020-07-20	Region Zealand	1
2020-07-21	Region Zealand	0
2020-07-22	Region Zealand	0
2020-07-23	Region Zealand	0
2020-07-24	Region Zealand	1
2020-07-25	Region Zealand	2
2020-07-26	Region Zealand	1
2020-07-27	Region Zealand	1
2020-07-28	Region Zealand	1
2020-07-29	Region Zealand	2
2020-07-30	Region Zealand	2
2020-07-31	Region Zealand	0
2020-08-01	Region Zealand	1
2020-08-02	Region Zealand	2
2020-08-03	Region Zealand	2
2020-08-04	Region Zealand	3
2020-08-05	Region Zealand	0
2020-08-06	Region Zealand	1
2020-08-07	Region Zealand	0
2020-08-08	Region Zealand	1
2020-08-09	Region Zealand	1
2020-08-10	Region Zealand	1
2020-08-11	Region Zealand	1
2020-08-12	Region Zealand	1
2020-08-13	Region Zealand	0
2020-08-14	Region Zealand	1
2020-08-15	Region Zealand	2
2020-08-16	Region Zealand	0
2020-08-17	Region Zealand	2
2020-08-18	Region Zealand	0
2020-08-19	Region Zealand	1
2020-08-20	Region Zealand	1
2020-08-21	Region Zealand	0
2020-08-22	Region Zealand	0
2020-08-23	Region Zealand	0
2020-08-24	Region Zealand	0
2020-08-25	Region Zealand	0
2020-08-26	Region Zealand	3
2020-08-27	Region Zealand	1
2020-08-28	Region Zealand	0
2020-08-29	Region Zealand	0
2020-08-30	Region Zealand	0
2020-08-31	Region Zealand	2
2020-09-01	Region Zealand	0
2020-09-02	Region Zealand	0
2020-09-03	Region Zealand	0
2020-09-04	Region Zealand	0
2020-09-05	Region Zealand	0
2020-09-06	Region Zealand	0
2020-09-07	Region Zealand	0
2020-09-08	Region Zealand	1
2020-09-09	Region Zealand	1
2020-09-10	Region Zealand	1
2020-09-11	Region Zealand	3
2020-09-12	Region Zealand	1
2020-09-13	Region Zealand	2
2020-09-14	Region Zealand	2
2020-09-15	Region Zealand	0
2020-09-16	Region Zealand	1
2020-09-17	Region Zealand	3
2020-09-18	Region Zealand	2
2020-09-19	Region Zealand	2
2020-09-20	Region Zealand	0
2020-09-21	Region Zealand	1
2020-09-22	Region Zealand	2
2020-09-23	Region Zealand	5
2020-09-24	Region Zealand	3
2020-09-25	Region Zealand	1
2020-09-26	Region Zealand	2
2020-09-27	Region Zealand	3
2020-09-28	Region Zealand	1
2020-09-29	Region Zealand	0
2020-09-30	Region Zealand	4
2020-10-01	Region Zealand	2
2020-10-02	Region Zealand	5
2020-10-03	Region Zealand	0
2020-10-04	Region Zealand	1
2020-10-05	Region Zealand	2
2020-10-06	Region Zealand	0
2020-10-07	Region Zealand	2
2020-10-08	Region Zealand	1
2020-10-09	Region Zealand	2
2020-10-10	Region Zealand	2
2020-10-11	Region Zealand	1
2020-10-12	Region Zealand	1
2020-10-13	Region Zealand	1
2020-10-14	Region Zealand	1
2020-10-15	Region Zealand	0
2020-10-16	Region Zealand	3
2020-10-17	Region Zealand	2
2020-10-18	Region Zealand	0
2020-10-19	Region Zealand	5
2020-10-20	Region Zealand	1
2020-10-21	Region Zealand	2
2020-10-22	Region Zealand	2
2020-10-23	Region Zealand	5
2020-10-24	Region Zealand	3
2020-10-25	Region Zealand	1
2020-10-26	Region Zealand	7
2020-10-27	Region Zealand	1
2020-10-28	Region Zealand	2
2020-10-29	Region Zealand	2
2020-10-30	Region Zealand	4
2020-10-31	Region Zealand	5
2020-11-01	Region Zealand	1
2020-11-02	Region Zealand	4
